sig,n_fafb,n_banc,n_mcns,max_count
7_75,1,1,1,1
33_101,1,1,1,1
14_71,1,1,1,1
54_115,1,1,1,1
109_75,1,1,1,1
102_18,1,1,1,1
86_102,1,1,1,1
92_18,1,1,1,1
12_73,1,1,1,1
130_48,1,1,1,1
66_102,1,1,1,1
98_82,1,1,1,1
83_84,1,1,1,1
81_102,1,1,1,1
73_100,1,1,1,1
57_89,1,1,1,1
41_101,1,1,1,1
86_30,1,1,1,1
42_84,1,1,1,1
2_57,1,1,1,1
63_93,1,1,1,1
68_15,1,1,1,1
120_68,1,1,1,1
50_12,1,1,1,1
124_73,1,1,1,1
79_81,1,1,1,1
88_87,1,1,1,1
39_84,1,1,1,1
140_43,1,1,1,1
92_24,1,1,1,1
44_98,1,1,1,1
106_35,1,1,1,1
74_106,1,1,1,1
11_67,1,1,1,1
84_75,1,1,1,1
4_68,1,1,1,1
70_104,1,1,1,1
99_56,1,1,1,1
98_33,1,1,1,1
92_54,1,1,1,1
105_57,1,1,1,1
63_71,1,1,1,1
83_87,1,1,1,1
79_108,1,1,1,1
114_59,1,1,1,1
48_4,1,1,1,1
51_86,1,1,1,1
39_72,1,1,1,1
47_81,1,1,1,1
59_118,1,1,1,1
31_94,1,1,1,1
37_86,1,1,1,1
91_31,1,1,1,1
36_110,1,1,1,1
88_105,1,1,1,1
29_92,1,1,1,1
89_75,1,1,1,1
72_110,1,1,1,1
125_55,1,1,1,1
90_1,1,1,1,1
91_62,1,1,1,1
63_84,1,1,1,1
107_67,1,1,1,1
55_87,1,1,1,1
108_45,1,1,1,1
107_46,1,1,1,1
103_93,1,1,1,1
50_95,1,1,1,1
97_93,1,1,1,1
10_73,1,1,1,1
72_111,1,1,1,1
40_116,1,1,1,1
83_104,1,1,1,1
46_101,1,1,1,1
80_97,1,1,1,1
100_64,1,1,1,1
89_109,1,1,1,1
87_108,1,1,1,1
100_84,1,1,1,1
66_69,1,1,1,1
104_36,1,1,1,1
60_88,1,1,1,1
66_119,1,1,1,1
33_89,1,1,1,1
81_29,1,1,1,1
90_45,1,1,1,1
96_93,1,1,1,1
72_18,1,1,1,1
53_79,1,1,1,1
52_100,1,1,1,1
100_81,1,1,1,1
124_69,1,1,1,1
94_86,1,1,1,1
3_95,1,1,1,1
71_105,1,1,1,1
28_89,1,1,1,1
59_74,1,1,1,1
89_73,1,1,1,1
143_41,1,1,1,1
94_82,1,1,1,1
140_36,1,1,1,1
122_71,1,1,1,1
96_16,1,1,1,1
56_85,1,1,1,1
13_74,1,1,1,1
22_97,1,1,1,1
75_86,1,1,1,1
38_81,1,1,1,1
116_64,1,1,1,1
44_132,1,1,1,1
116_51,1,1,1,1
32_92,1,1,1,1
71_13,1,1,1,1
98_100,1,1,1,1
90_100,1,1,1,1
113_61,1,1,1,1
103_87,1,1,1,1
56_87,1,1,1,1
129_66,1,1,1,1
49_81,1,1,1,1
104_74,1,1,1,1
56_71,1,1,1,1
55_97,1,1,1,1
125_57,1,1,1,1
30_82,1,1,1,1
57_82,1,1,1,1
109_72,1,1,1,1
112_87,1,1,1,1
101_30,1,1,1,1
90_49,1,1,1,1
83_16,1,1,1,1
48_93,1,1,1,1
88_93,1,1,1,1
73_66,1,1,1,1
77_110,1,1,1,1
105_74,1,1,1,1
74_95,1,1,1,1
42_90,1,1,1,1
61_114,1,1,1,1
89_21,1,1,1,1
77_104,1,1,1,1
34_89,1,1,1,1
92_95,1,1,1,1
59_127,1,1,1,1
100_95,1,1,1,1
78_108,1,1,1,1
64_116,1,1,1,1
116_66,1,1,1,1
95_82,1,1,1,1
45_77,1,1,1,1
84_80,1,1,1,1
53_85,1,1,1,1
71_111,1,1,1,1
66_1,1,1,1,1
70_86,1,1,1,1
116_43,1,1,1,1
58_106,1,1,1,1
5_61,1,1,1,1
115_68,1,1,1,1
28_91,1,1,1,1
51_82,1,1,1,1
115_53,1,1,1,1
105_64,1,1,1,1
97_44,1,1,1,1
122_62,1,1,1,1
