sig,n_fafb,n_banc,n_mcns,max_count,neuron_fafb,neuron_banc,neuron_mcns
7_75,1,1,1,1,720575940602337536,720575941555499008,908535
33_101,1,1,1,1,720575940604947712,720575941594292736,17456
14_71,1,1,1,1,720575940605441664,720575941625087744,805929
54_115,1,1,1,1,720575940605465856,720575941507457408,28901
109_75,1,1,1,1,720575940605903488,720575941593052160,21984
102_18,1,1,1,1,720575940606342144,720575941587587456,25682
86_102,1,1,1,1,720575940606667648,720575941526816128,800885
92_18,1,1,1,1,720575940607378688,720575941564243584,802769
12_73,1,1,1,1,720575940607791616,720575941411205504,906499
130_48,1,1,1,1,720575940608268672,720575941564789504,31261
66_102,1,1,1,1,720575940608335360,720575941576547200,514022
98_82,1,1,1,1,720575940608658688,720575941478186112,16928
83_84,1,1,1,1,720575940610404608,720575941680166272,25419
81_102,1,1,1,1,720575940610995456,720575941517062784,803317
73_100,1,1,1,1,720575940611439488,720575941631945472,512077
57_89,1,1,1,1,720575940611474176,720575941612425216,18148
41_101,1,1,1,1,720575940611577472,720575941480852224,146502
86_30,1,1,1,1,720575940612289024,720575941546627072,87313
42_84,1,1,1,1,720575940612429952,720575941633353600,32654
2_57,1,1,1,1,720575940612861056,720575941515159936,76875
63_93,1,1,1,1,720575940613256192,720575941452032128,516132
68_15,1,1,1,1,720575940613487360,720575941514153088,512295
120_68,1,1,1,1,720575940614217600,720575941530191360,17334
50_12,1,1,1,1,720575940614441728,720575941538055424,75808
124_73,1,1,1,1,720575940614665344,720575941584493184,803920
79_81,1,1,1,1,720575940614671360,720575941624982016,19949
88_87,1,1,1,1,720575940614738944,720575941535958272,23952
39_84,1,1,1,1,720575940614762880,720575941514363904,804756
140_43,1,1,1,1,720575940614843264,720575941435460608,17088
92_24,1,1,1,1,720575940615053568,720575941541740800,549212
44_98,1,1,1,1,720575940615328896,720575941435389824,30947
106_35,1,1,1,1,720575940615464832,720575941489744384,31678
74_106,1,1,1,1,720575940615688832,720575941497582976,511841
11_67,1,1,1,1,720575940616064512,720575941563256960,808772
84_75,1,1,1,1,720575940616157440,720575941546436736,12993
4_68,1,1,1,1,720575940616427392,720575941722317568,955284
70_104,1,1,1,1,720575940616429824,720575941428164224,17527
99_56,1,1,1,1,720575940616511232,720575941523264768,68168
98_33,1,1,1,1,720575940616661504,720575941654816768,806448
92_54,1,1,1,1,720575940616687744,720575941450044544,30395
105_57,1,1,1,1,720575940616860160,720575941529739008,15437
63_71,1,1,1,1,720575940616864128,720575941663625600,22725
83_87,1,1,1,1,720575940616864256,720575941604875392,15502
79_108,1,1,1,1,720575940617046144,720575941595964288,31674
114_59,1,1,1,1,720575940617052416,720575941633846400,47253
48_4,1,1,1,1,720575940617120128,720575941535742720,40506
51_86,1,1,1,1,720575940617181696,720575941459917184,804178
39_72,1,1,1,1,720575940617462272,720575941555664256,806487
47_81,1,1,1,1,720575940617674752,720575941430182016,22266
59_118,1,1,1,1,720575940618013696,720575941534990976,14848
31_94,1,1,1,1,720575940618056704,720575941515924096,29369
37_86,1,1,1,1,720575940618111232,720575941591488128,111432
91_31,1,1,1,1,720575940618551296,720575941504429568,67595
36_110,1,1,1,1,720575940618649984,720575941613632896,536871
88_105,1,1,1,1,720575940618720640,720575941595494912,47546
29_92,1,1,1,1,720575940618875904,720575941581386112,38461
89_75,1,1,1,1,720575940619428480,720575941667251712,804555
72_110,1,1,1,1,720575940619642752,720575941565813632,14896
125_55,1,1,1,1,720575940619667072,720575941547339904,18876
90_1,1,1,1,1,720575940619682304,720575941590220672,13712
91_62,1,1,1,1,720575940619729024,720575941650631680,31154
63_84,1,1,1,1,720575940619761280,720575941627372288,28049
107_67,1,1,1,1,720575940619768448,720575941562059136,803848
55_87,1,1,1,1,720575940619804160,720575941630809472,30498
108_45,1,1,1,1,720575940619849600,720575941470231680,526634
107_46,1,1,1,1,720575940620129664,720575941667079808,13819
103_93,1,1,1,1,720575940620221184,720575941571394816,16649
50_95,1,1,1,1,720575940620457088,720575941565259264,903720
97_93,1,1,1,1,720575940620497024,720575941408524416,902668
10_73,1,1,1,1,720575940620539520,720575941565443200,807995
72_111,1,1,1,1,720575940620581760,720575941532246784,14529
40_116,1,1,1,1,720575940620649984,720575941623162112,17863
83_104,1,1,1,1,720575940620697088,720575941626164736,16131
46_101,1,1,1,1,720575940621050240,720575941519592448,815788
80_97,1,1,1,1,720575940621241088,720575941393759104,14506
100_64,1,1,1,1,720575940621259904,720575941451925120,22500
89_109,1,1,1,1,720575940621298560,720575941549359104,522300
87_108,1,1,1,1,720575940621352448,720575941594268416,919551
100_84,1,1,1,1,720575940621391488,720575941547713792,23705
66_69,1,1,1,1,720575940621437056,720575941565475456,516742
104_36,1,1,1,1,720575940621485184,720575941626476672,42485
60_88,1,1,1,1,720575940621606016,720575941432503296,17579
66_119,1,1,1,1,720575940621643136,720575941703374080,515961
33_89,1,1,1,1,720575940621676032,720575941620230528,56136
81_29,1,1,1,1,720575940622024320,720575941602114432,902449
90_45,1,1,1,1,720575940622067072,720575941554237184,13132
96_93,1,1,1,1,720575940622109824,720575941477239296,15730
72_18,1,1,1,1,720575940622217600,720575941526403200,93489
53_79,1,1,1,1,720575940622252928,720575941486926208,42862
52_100,1,1,1,1,720575940622357248,720575941431105920,902317
100_81,1,1,1,1,720575940622420864,720575941590551296,804927
124_69,1,1,1,1,720575940622471680,720575941624087808,41026
94_86,1,1,1,1,720575940622499840,720575941562443392,906490
3_95,1,1,1,1,720575940622606080,720575941521111168,67526
71_105,1,1,1,1,720575940622898944,720575941352944128,21780
28_89,1,1,1,1,720575940622912000,720575941598598784,51122
59_74,1,1,1,1,720575940622937984,720575941450105728,22802
89_73,1,1,1,1,720575940623008256,720575941607669120,530675
143_41,1,1,1,1,720575940623115520,720575941519443200,26656
94_82,1,1,1,1,720575940623189248,720575941526957056,15500
140_36,1,1,1,1,720575940623193600,720575941472103936,55572
122_71,1,1,1,1,720575940623383424,720575941596703872,520028
96_16,1,1,1,1,720575940623491968,720575941506896768,26261
56_85,1,1,1,1,720575940623508224,720575941508309248,11901
13_74,1,1,1,1,720575940623646976,720575941565458560,77273
22_97,1,1,1,1,720575940623755264,720575941480797824,39789
75_86,1,1,1,1,720575940624152320,720575941564722176,15204
38_81,1,1,1,1,720575940624200704,720575941619957888,806328
116_64,1,1,1,1,720575940624247808,720575941450721152,802366
44_132,1,1,1,1,720575940624292096,720575941532674432,532055
116_51,1,1,1,1,720575940624392320,720575941445829120,29873
32_92,1,1,1,1,720575940624513152,720575941645076352,909389
71_13,1,1,1,1,720575940624611072,720575941438075648,26677
98_100,1,1,1,1,720575940624835456,720575941521525632,11427
90_100,1,1,1,1,720575940624885632,720575941461700608,25035
113_61,1,1,1,1,720575940624969728,720575941592838144,44151
103_87,1,1,1,1,720575940625006464,720575941439492096,16100
56_87,1,1,1,1,720575940625048576,720575941540316416,18066
129_66,1,1,1,1,720575940625479168,720575941488176640,515800
49_81,1,1,1,1,720575940625537152,720575941552589056,15242
104_74,1,1,1,1,720575940625917824,720575941435496320,523808
56_71,1,1,1,1,720575940626158720,720575941467113216,810722
55_97,1,1,1,1,720575940626196736,720575941590232576,24566
125_57,1,1,1,1,720575940626253056,720575941637812096,37290
30_82,1,1,1,1,720575940626397952,720575941533371520,65925
57_82,1,1,1,1,720575940626408192,720575941560743936,20332
109_72,1,1,1,1,720575940626557440,720575941564426880,22015
112_87,1,1,1,1,720575940626678016,720575941671438208,104310
101_30,1,1,1,1,720575940626765952,720575941539620736,26031
90_49,1,1,1,1,720575940626803584,720575941598961664,116987
83_16,1,1,1,1,720575940626859264,720575941502559488,23069
48_93,1,1,1,1,720575940626997248,720575941558035712,15684
88_93,1,1,1,1,720575940627032832,720575941611018368,18463
73_66,1,1,1,1,720575940627148800,720575941431614720,906550
77_110,1,1,1,1,720575940627192320,720575941538690688,24264
105_74,1,1,1,1,720575940627197952,720575941555196928,12373
74_95,1,1,1,1,720575940627285760,720575941584647808,14134
42_90,1,1,1,1,720575940627444736,720575941558807424,21160
61_114,1,1,1,1,720575940627457152,720575941560427392,23483
89_21,1,1,1,1,720575940627543424,720575941437185024,38935
77_104,1,1,1,1,720575940627667584,720575941438725888,16085
34_89,1,1,1,1,720575940627687936,720575941616403968,57972
92_95,1,1,1,1,720575940627709824,720575941500045440,559411
59_127,1,1,1,1,720575940627723392,720575941484236928,103306
100_95,1,1,1,1,720575940627758720,720575941671579264,14681
78_108,1,1,1,1,720575940627796992,720575941473850752,511939
64_116,1,1,1,1,720575940627849216,720575941611149696,18111
116_66,1,1,1,1,720575940627916288,720575941478215168,31114
95_82,1,1,1,1,720575940627956480,720575941411316096,36680
45_77,1,1,1,1,720575940628060928,720575941440657536,512281
84_80,1,1,1,1,720575940628115712,720575941548012032,936611
