neuron_fafb,neuron_banc,neuron_mcns
720575940599704064,720575941391519872,12847
720575940599733504,720575941391632640,25712
720575940599755776,720575941403698304,27748
720575940599763968,720575941351191296,20345
720575940599736448,720575941353388800,18975
720575940600071680,720575941391485056,15916
720575940600084480,720575941352180992,12956
720575940600143360,720575941408280960,19167
720575940600150784,720575941399990272,15015
720575940600433152,720575941390819200,29567
720575940600588160,720575941407892480,11461
720575940600850432,720575941392137344,12828
720575940600866560,720575941406743040,17795
720575940600934656,720575941390532864,13173
720575940601049088,720575941351300096,16357
720575940601067392,720575941393043456,17670
720575940601206528,720575941390336256,29891
720575940601325440,720575941391467392,15629
720575940601598848,720575941434022144,27347
720575940601603200,720575941412609152,10350
720575940602309632,720575941353420288,51452
720575940602313984,720575941352767744,14757
720575940602398464,720575941438325760,29856
720575940602415616,720575941392057216,15390
720575940602553600,720575941411293056,20773
720575940602605568,720575941353056000,26838
720575940602790656,720575941351444224,25313
720575940602800640,720575941391736960,16425
720575940602815232,720575941390795008,23005
720575940602829568,720575941352544256,14526
720575940602857472,720575941407123840,21564
720575940602858496,720575941429370112,14313
720575940602880768,720575941352825856,13903
720575940603050624,720575941351399680,30571
720575940603082752,720575941351045888,33490
720575940603094656,720575941432121728,35492
720575940603121920,720575941410259840,37736
720575940603186816,720575941435778816,20908
720575940603197440,720575941414758016,15388
720575940603215488,720575941392523264,23014
720575940603238784,720575941351388416,18881
720575940603268736,720575941411356800,26063
720575940603314688,720575941391237376,27011
720575940603317248,720575941404097408,16619
720575940603349248,720575941352827136,12300
720575940599459840,720575941403320192,12925
720575940602964096,720575941352068608,20850
720575940603366144,720575941406971264,26663
720575940603391744,720575941452166272,16311
720575940603455872,720575941391992832,14632
720575940603457792,720575941392463616,13155
720575940603472640,720575941408019328,22834
720575940603491968,720575941390850560,10817
720575940603495680,720575941461960704,34345
720575940603497216,720575941352898560,24204
720575940603501056,720575941350550272,83079
720575940603406208,720575941391229184,80330
720575940603520128,720575941405119104,25370
720575940602857728,720575941351704576,15017
720575940603556992,720575941408690944,21320
720575940603557888,720575941351511040,13105
720575940603618432,720575941430660992,32117
720575940603620224,720575941393645440,13322
720575940603643008,720575941351347712,19596
720575940603659520,720575941351178240,18223
720575940603664000,720575941352087296,18188
720575940603701504,720575941353224960,33159
720575940603715328,720575941393188352,20257
720575940603747328,720575941432743680,26512
720575940603761792,720575941351369472,40511
720575940603765888,720575941410025088,16287
720575940603784576,720575941351173120,29948
720575940603842432,720575941407164544,17265
720575940603851136,720575941399363072,43130
720575940603853056,720575941353180928,31532
720575940603854208,720575941353525760,33644
720575940603896704,720575941448578688,13421
720575940603923072,720575941416290816,18741
720575940603926144,720575941405820928,13848
720575940603935360,720575941430906112,19811
720575940603828736,720575941352132864,39293
720575940603944320,720575941391458688,26971
720575940603948800,720575941413504384,22374
720575940603949056,720575941401964544,20760
720575940603373952,720575941402301696,19867
720575940603404800,720575941351191808,14405
720575940604010368,720575941352411392,14618
720575940604013952,720575941429931648,16243
720575940600101632,720575941391186432,19495
720575940604021376,720575941393183360,17789
720575940604024960,720575941411623040,23335
720575940604027136,720575941428340736,16265
720575940604038912,720575941467967232,19847
720575940603563904,720575941392097664,15373
720575940603905280,720575941426487936,17725
720575940604076928,720575941503733248,38531
720575940603911296,720575941400700416,16913
720575940604086528,720575941391584128,34535
720575940604093952,720575941353441536,15832
720575940602849280,720575941351711232,60151
720575940604098944,720575941412957568,18439
720575940603841920,720575941412709504,13606
720575940604123008,720575941412619136,24111
720575940604126080,720575941393201280,16952
720575940604130432,720575941390363392,18174
720575940602737536,720575941351833856,16400
720575940604142464,720575941408095616,21327
